sip_uuid,bucket,am_status,package_type,size_bytes,current_location,current_path,title
898ebad6-5d35-4455-9eba-08f9fc6c61c7,B,UPLOADED,AIP,12639160,/api/v2/location/11a1c5ca-cb7e-448e-9ece-57f671e94057/,898e/bad6/5d35/4455/9eba/08f9/fc6c/61c7/019d3890-7863-46a8-9d39-108a6ee489e1_clarion_19431022_vol48no4_transfer-898ebad6-5d35-4455-9eba-08f9fc6c61c7.7z,"Clarion, vol. 48, no. 4, 1943 October 22"
eb7d8abd-323a-413c-bf95-0488410303b0,B,UPLOADED,AIP,13147526,/api/v2/location/11a1c5ca-cb7e-448e-9ece-57f671e94057/,eb7d/8abd/323a/413c/bf95/0488/4103/03b0/019d3890-7863-46a8-9d39-108a6ee489e1_clarion_19440128_vol48no13_transfer-eb7d8abd-323a-413c-bf95-0488410303b0.7z,"Clarion, vol. 48, no. 13, 1944 January 28"
a737fd52-b41f-48b2-8d6d-2a0403c5dd85,B,UPLOADED,AIP,12483475,/api/v2/location/11a1c5ca-cb7e-448e-9ece-57f671e94057/,a737/fd52/b41f/48b2/8d6d/2a04/03c5/dd85/019d3890-7863-46a8-9d39-108a6ee489e1_clarion_19431008_vol48no2_transfer-a737fd52-b41f-48b2-8d6d-2a0403c5dd85.7z,"Clarion, vol. 48, no. 2, 1943 October 8"
06000d43-0ef5-4d48-9527-8c6631f02e0e,B,UPLOADED,AIP,13183691,/api/v2/location/11a1c5ca-cb7e-448e-9ece-57f671e94057/,0600/0d43/0ef5/4d48/9527/8c66/31f0/2e0e/019d3890-7863-46a8-9d39-108a6ee489e1_clarion_19440421_vol48no22_transfer-06000d43-0ef5-4d48-9527-8c6631f02e0e.7z,"Clarion, vol. 48, no. 22, 1944 April 21"
341b2f57-0a79-49e9-bbff-d1c74db1b30c,B,UPLOADED,AIP,13066714,/api/v2/location/11a1c5ca-cb7e-448e-9ece-57f671e94057/,341b/2f57/0a79/49e9/bbff/d1c7/4db1/b30c/019d3890-7863-46a8-9d39-108a6ee489e1_clarion_19431124_vol48no9_transfer-341b2f57-0a79-49e9-bbff-d1c74db1b30c.7z,"Clarion, vol. 48, no. 9, 1943 November 24"
59549075-6e58-4b17-8952-f0eb2396f5df,B,UPLOADED,AIP,12273072,/api/v2/location/11a1c5ca-cb7e-448e-9ece-57f671e94057/,5954/9075/6e58/4b17/8952/f0eb/2396/f5df/019d3890-7863-46a8-9d39-108a6ee489e1_clarion_19440519_vol48no26_transfer-59549075-6e58-4b17-8952-f0eb2396f5df.7z,"Clarion, vol. 48, no. 26, 1944 May 19"
7042dbce-e28c-4629-b19e-f1331e7bd309,B,UPLOADED,AIP,13018945,/api/v2/location/11a1c5ca-cb7e-448e-9ece-57f671e94057/,7042/dbce/e28c/4629/b19e/f133/1e7b/d309/019d3890-7863-46a8-9d39-108a6ee489e1_clarion_19431105_vol48no6_transfer-7042dbce-e28c-4629-b19e-f1331e7bd309.7z,"Clarion, vol. 48, no. 6, 1943 November 5"
14bbb531-18f4-4bbe-8c12-812af9b1bbe9,B,UPLOADED,AIP,13101116,/api/v2/location/11a1c5ca-cb7e-448e-9ece-57f671e94057/,14bb/b531/18f4/4bbe/8c12/812a/f9b1/bbe9/019d3890-7863-46a8-9d39-108a6ee489e1_clarion_19440414_vol48no21_transfer-14bbb531-18f4-4bbe-8c12-812af9b1bbe9.7z,"Clarion, vol. 48, no. 21, 1944 April 14"
67c677ef-bf86-494f-8980-63020d955959,B,UPLOADED,AIP,12594426,/api/v2/location/11a1c5ca-cb7e-448e-9ece-57f671e94057/,67c6/77ef/bf86/494f/8980/6302/0d95/5959/019d3890-7863-46a8-9d39-108a6ee489e1_clarion_19440211_vol48no15_transfer-67c677ef-bf86-494f-8980-63020d955959.7z,"Clarion, vol. 48, no. 15, 1944 February 11"
5d55793b-5908-458e-b7c9-00b66c84b590,B,UPLOADED,AIP,12963934,/api/v2/location/11a1c5ca-cb7e-448e-9ece-57f671e94057/,5d55/793b/5908/458e/b7c9/00b6/6c84/b590/019d3890-7863-46a8-9d39-108a6ee489e1_clarion_19431119_vol48no8_transfer-5d55793b-5908-458e-b7c9-00b66c84b590.7z,"Clarion, vol. 48, no. 8, 1943 November 19"
0973db57-f741-453a-83d5-e1fa9df8e18d,B,UPLOADED,AIP,13125832,/api/v2/location/11a1c5ca-cb7e-448e-9ece-57f671e94057/,0973/db57/f741/453a/83d5/e1fa/9df8/e18d/019d3890-7863-46a8-9d39-108a6ee489e1_clarion_19431015_vol48no3_transfer-0973db57-f741-453a-83d5-e1fa9df8e18d.7z,"Clarion, vol. 48, no. 3, 1943 October 15"
cd1371f5-fb25-400c-b37e-e3be797d501d,B,UPLOADED,AIP,12141061,/api/v2/location/11a1c5ca-cb7e-448e-9ece-57f671e94057/,cd13/71f5/fb25/400c/b37e/e3be/797d/501d/019d3890-7863-46a8-9d39-108a6ee489e1_clarion_19440505_vol48no24_transfer-cd1371f5-fb25-400c-b37e-e3be797d501d.7z,"Clarion, vol. 48, no. 24, 1944 May 5"
93676ed6-1625-4efd-8817-f4ad968960f5,B,UPLOADED,AIP,13189646,/api/v2/location/11a1c5ca-cb7e-448e-9ece-57f671e94057/,9367/6ed6/1625/4efd/8817/f4ad/9689/60f5/019d3890-7863-46a8-9d39-108a6ee489e1_clarion_19431001_vol48no1_transfer-93676ed6-1625-4efd-8817-f4ad968960f5.7z,"Clarion, vol. 48, no. 1, 1943 October 1"
c2ff6c87-04ae-49f5-942f-c6343f21408d,B,UPLOADED,AIP,12937545,/api/v2/location/11a1c5ca-cb7e-448e-9ece-57f671e94057/,c2ff/6c87/04ae/49f5/942f/c634/3f21/408d/019d3890-7863-46a8-9d39-108a6ee489e1_clarion_19440406_vol48no20_transfer-c2ff6c87-04ae-49f5-942f-c6343f21408d.7z,"Clarion, vol. 48, no. 20, 1944 April 6"
7f44958a-6908-4796-a5b1-f4cf6555616b,B,UPLOADED,AIP,12780720,/api/v2/location/11a1c5ca-cb7e-448e-9ece-57f671e94057/,7f44/958a/6908/4796/a5b1/f4cf/6555/616b/019d3890-7863-46a8-9d39-108a6ee489e1_clarion_19440428_vol48no23_transfer-7f44958a-6908-4796-a5b1-f4cf6555616b.7z,"Clarion, vol. 48, no. 23, 1944 April 28"
46c88b85-c349-45f7-ab3a-2144a74afdf6,B,UPLOADED,AIP,13264913,/api/v2/location/11a1c5ca-cb7e-448e-9ece-57f671e94057/,46c8/8b85/c349/45f7/ab3a/2144/a74a/fdf6/019d3890-7863-46a8-9d39-108a6ee489e1_clarion_19440225_vol48no17_transfer-46c88b85-c349-45f7-ab3a-2144a74afdf6.7z,"Clarion, vol. 48, no 17, 1944 February 25"
75eab033-afbd-4979-9aa0-37500649f207,B,UPLOADED,AIP,13244117,/api/v2/location/11a1c5ca-cb7e-448e-9ece-57f671e94057/,75ea/b033/afbd/4979/9aa0/3750/0649/f207/019d3890-7863-46a8-9d39-108a6ee489e1_clarion_19431029_vol48no5_transfer-75eab033-afbd-4979-9aa0-37500649f207.7z,"Clarion, vol. 48, no. 5, 1943 October 29"
1ca65a25-9553-41e8-a5ec-03e90ddd6e73,B,UPLOADED,AIP,11712638,/api/v2/location/11a1c5ca-cb7e-448e-9ece-57f671e94057/,1ca6/5a25/9553/41e8/a5ec/03e9/0ddd/6e73/019d3890-7863-46a8-9d39-108a6ee489e1_clarion_19440526_vol48no27_transfer-1ca65a25-9553-41e8-a5ec-03e90ddd6e73.7z,"Clarion, vol. 48, no. 27, 1944 May 26"
e94046ff-19a1-4b55-9938-691edca7714c,B,UPLOADED,AIP,13025039,/api/v2/location/11a1c5ca-cb7e-448e-9ece-57f671e94057/,e940/46ff/19a1/4b55/9938/691e/dca7/714c/019d3890-7863-46a8-9d39-108a6ee489e1_clarion_19440121_vol48no12_transfer-e94046ff-19a1-4b55-9938-691edca7714c.7z,"Clarion, vol. 48, no. 12, 1944 January 21"
c870056e-6f5e-4e9b-ba63-a0e9039115d5,B,UPLOADED,AIP,12800154,/api/v2/location/11a1c5ca-cb7e-448e-9ece-57f671e94057/,c870/056e/6f5e/4e9b/ba63/a0e9/0391/15d5/019d3890-7863-46a8-9d39-108a6ee489e1_clarion_19440204_vol48no14_transfer-c870056e-6f5e-4e9b-ba63-a0e9039115d5.7z,"Clarion, vol. 48, no. 14, 1944 February 4"
a3440fcf-6d98-41be-ba3c-38f9812fdd52,B,UPLOADED,AIP,12923791,/api/v2/location/11a1c5ca-cb7e-448e-9ece-57f671e94057/,a344/0fcf/6d98/41be/ba3c/38f9/812f/dd52/019d3890-7863-46a8-9d39-108a6ee489e1_clarion_19440512_vol48no25_transfer-a3440fcf-6d98-41be-ba3c-38f9812fdd52.7z,"Clarion, vol. 48, no. 25, 1944 May 12"
b4acee50-6e4d-4c22-9f9b-033b6a31e2f8,B,UPLOADED,AIP,25424009,/api/v2/location/11a1c5ca-cb7e-448e-9ece-57f671e94057/,b4ac/ee50/6e4d/4c22/9f9b/033b/6a31/e2f8/019d3890-7863-46a8-9d39-108a6ee489e1_clarion_19431112_vol48no7_transfer-b4acee50-6e4d-4c22-9f9b-033b6a31e2f8.7z,"Clarion, vol. 48, no. 7, 1943 November 12"
4534ff27-632f-40d4-9baf-b357ae551f85,B,UPLOADED,AIP,13565484,/api/v2/location/11a1c5ca-cb7e-448e-9ece-57f671e94057/,4534/ff27/632f/40d4/9baf/b357/ae55/1f85/019d3890-7863-46a8-9d39-108a6ee489e1_clarion_19440310_vol48no19_transfer-4534ff27-632f-40d4-9baf-b357ae551f85.7z,"Clarion, vol. 48, no. 19, 1944 March 10"
ff11556b-07d1-4f4a-b5d5-c1939cb472ac,B,UPLOADED,AIP,13301687,/api/v2/location/11a1c5ca-cb7e-448e-9ece-57f671e94057/,ff11/556b/07d1/4f4a/b5d5/c193/9cb4/72ac/019d3890-7863-46a8-9d39-108a6ee489e1_clarion_19440218_vol48no16_transfer-ff11556b-07d1-4f4a-b5d5-c1939cb472ac.7z,"Clarion, vol. 48, no. 16, 1944 February 18"
be8bd9a0-57f2-43ea-8054-c6cf400109a8,B,UPLOADED,AIP,25901602,/api/v2/location/11a1c5ca-cb7e-448e-9ece-57f671e94057/,be8b/d9a0/57f2/43ea/8054/c6cf/4001/09a8/019d3890-7863-46a8-9d39-108a6ee489e1_clarion_19541112_vol31no8_transfer-be8bd9a0-57f2-43ea-8054-c6cf400109a8.7z,"Clarion, vol. 31, no. 8, 1954 November 12"
2556c432-0e23-42ab-8e86-c81fb08b3f77,B,UPLOADED,AIP,26816988,/api/v2/location/11a1c5ca-cb7e-448e-9ece-57f671e94057/,2556/c432/0e23/42ab/8e86/c81f/b08b/3f77/019d3890-7863-46a8-9d39-108a6ee489e1_clarion_19550513_vol31no28_transfer-2556c432-0e23-42ab-8e86-c81fb08b3f77.7z,"Clarion, vol. 31, no. 28, 1955 May 13"
0895f63a-de87-4aec-a7dd-165835e65d16,B,UPLOADED,AIP,18993948,/api/v2/location/11a1c5ca-cb7e-448e-9ece-57f671e94057/,0895/f63a/de87/4aec/a7dd/1658/35e6/5d16/019d3890-7863-46a8-9d39-108a6ee489e1_clarion_19550218_vol31no18_transfer-0895f63a-de87-4aec-a7dd-165835e65d16.7z,"Clarion, vol. 31, no. 18, 1955 February 18"
